"","point","mean","low","high","time"
"1","model predict (95% CI)",12.9513096768353,8.42486918447834,18.1657573603992,1993
"2","model predict (95% CI)",2.01299024455352,1.26185583322004,2.92192504377568,1994
"3","model predict (95% CI)",11.3839183332607,8.21953620958804,14.9490343418384,1995
"4","model predict (95% CI)",4.05262845610354,3.03976366920259,5.36761798316062,1996
"5","model predict (95% CI)",3.03547813439038,2.17530427859126,4.09920309307468,1997
"6","model predict (95% CI)",0.940174619157109,0.608944665973925,1.33690730019348,1998
"7","model predict (95% CI)",1.24898108744136,0.789002337333857,1.85774054881187,1999
"8","model predict (95% CI)",0.690744481092978,0.434394463735027,1.06260223259112,2000
"9","model predict (95% CI)",0.532237068202204,0.300391752858838,0.831819777318445,2001
"10","model predict (95% CI)",0.825625942113566,0.466335294524185,1.30058643932935,2002
"11","model predict (95% CI)",1.24418537168399,0.74618366617853,1.89322049202417,2003
"12","model predict (95% CI)",0.944942545127726,0.540273489093028,1.49016513909747,2004
"13","model predict (95% CI)",1.79199636668257,1.16022800983976,2.68966746423503,2005
"14","model predict (95% CI)",1.14564767782308,0.667849120917362,1.793721410594,2006
"X1993","data",15,15,15,1993
"X1994","data",0,0,0,1994
"X1995","data",3,3,3,1995
"X1996","data",8,8,8,1996
"X1997","data",4,4,4,1997
"X1998","data",1,1,1,1998
"X1999","data",1,1,1,1999
"X2000","data",2,2,2,2000
"X2001","data",1,1,1,2001
"X2002","data",0,0,0,2002
"X2003","data",3,3,3,2003
"X2004","data",0,0,0,2004
"X2005","data",3,3,3,2005
"X2006","data",1,1,1,2006
