"","point","mean","low","high","time"
"1","model predict (95% CI)",0.205610120252054,0.161585392973989,0.252631976378959,1992
"2","model predict (95% CI)",0.507112160238622,0.444800730282733,0.564316205999335,1993
"3","model predict (95% CI)",0.159930834942836,0.126191382522247,0.200142217190761,1994
"4","model predict (95% CI)",0.700629406545072,0.655313072737606,0.74253195916116,1995
"5","model predict (95% CI)",0.472051682069624,0.399619199936656,0.548006473770636,1996
"6","model predict (95% CI)",0.506342969905128,0.426107041709534,0.58625731849237,1997
"7","model predict (95% CI)",0.346441765332009,0.259857446453723,0.434675832292463,1998
"8","model predict (95% CI)",0.375703093769373,0.290882417732316,0.465620886487862,1999
"9","model predict (95% CI)",0.340349274475257,0.264473952897027,0.42057140311181,2000
"10","model predict (95% CI)",0.227176802865946,0.163854644408374,0.3013998033279,2001
"11","model predict (95% CI)",0.336842136924569,0.264173811921832,0.417706417783015,2002
"12","model predict (95% CI)",0.377053808515808,0.309421566256197,0.451020227226348,2003
"13","model predict (95% CI)",0.24918753577346,0.177173336566361,0.325870472200457,2004
"14","model predict (95% CI)",0.46091677553867,0.366315851397632,0.557152191210293,2005
"15","model predict (95% CI)",0.459188478489968,0.323537234325523,0.608072118494134,2006
