"","point","mean","low","high","time"
"1","model predict (95% CI)",0.561329965237794,0.414058791741927,0.681675201768574,1993
"2","model predict (95% CI)",0.542047749424094,0.441068008207868,0.630290612399301,1994
"3","model predict (95% CI)",0.474600366707918,0.400377235270008,0.550594821619547,1995
"4","model predict (95% CI)",0.496502801999123,0.37237003718906,0.605145722565789,1996
"5","model predict (95% CI)",0.50173906846213,0.41834096087984,0.588215510594751,1997
"6","model predict (95% CI)",0.581598453899296,0.442250926388116,0.713762144486457,1998
"7","model predict (95% CI)",0.522169334427955,0.405163735834965,0.625042759874272,1999
"8","model predict (95% CI)",0.543962559626289,0.398121526423014,0.675343614755905,2000
"9","model predict (95% CI)",0.481845768510106,0.38285401094127,0.579286223477516,2001
"10","model predict (95% CI)",0.44541564512602,0.356434868198983,0.532366723931741,2002
"11","model predict (95% CI)",0.463719359673157,0.335441179281782,0.602223560633966,2003
"12","model predict (95% CI)",0.457920057808883,0.35512836876163,0.564846102225412,2004
"13","model predict (95% CI)",0.476738012725695,0.365033693133331,0.593804989275515,2005
"14","model predict (95% CI)",0.505214658142,0.335829723853257,0.667820915815639,2006
