"","point","mean","low","high","time"
"1","model predict (95% CI)",983.319823759625,843.057609282852,1190.07926934362,1992
"2","model predict (95% CI)",808.216405392857,688.297074203613,962.799008037069,1993
"3","model predict (95% CI)",805.45806295214,712.532090339299,905.67300154333,1994
"4","model predict (95% CI)",413.335382197964,348.739783101621,500.28497135535,1995
"5","model predict (95% CI)",339.670326841476,274.486060792942,427.457295851336,1996
"6","model predict (95% CI)",243.08674513964,200.064032829062,310.596430038723,1997
"7","model predict (95% CI)",227.217248016942,185.759776793655,280.457221911496,1998
"8","model predict (95% CI)",224.057318308438,189.27508662483,271.348167744232,1999
"9","model predict (95% CI)",224.74794104319,187.240311233482,271.668273742126,2000
"10","model predict (95% CI)",295.83049189855,250.10814064185,347.372224044574,2001
"11","model predict (95% CI)",327.782280034446,283.689441813789,391.456845102714,2002
"12","model predict (95% CI)",291.818513560909,247.126972629057,355.496263194843,2003
"13","model predict (95% CI)",314.061812192141,262.901996434266,372.827462787644,2004
"14","model predict (95% CI)",289.480936532438,241.630630176963,351.534059966869,2005
"15","model predict (95% CI)",235.622616436568,184.899550289467,308.760910416038,2006
