"","point","mean","low","high","time"
"1","model predict (95% CI)",65.4265397114021,50.5546473568994,82.3814914428573,1993
"2","model predict (95% CI)",36.2579755385478,25.8479381996,47.6490119025663,1994
"3","model predict (95% CI)",96.8148446872724,78.7161031237489,116.241722930306,1995
"4","model predict (95% CI)",29.5575967542032,20.5119482598334,41.0360983104828,1996
"5","model predict (95% CI)",30.5189712238723,21.0021019932685,41.7289310868453,1997
"6","model predict (95% CI)",7.3117196645901,3.1729822059842,12.7646006381195,1998
"7","model predict (95% CI)",18.0121965936902,11.073460564681,26.3054617514225,1999
"8","model predict (95% CI)",8.21761934823853,4.15508985536631,13.6372570432418,2000
"9","model predict (95% CI)",6.24010634389716,2.85483194803173,10.8169916103254,2001
"10","model predict (95% CI)",18.6777186527683,11.5700779690428,26.8680276785915,2002
"11","model predict (95% CI)",25.760353132379,17.8306319493901,34.8841940598986,2003
"12","model predict (95% CI)",22.2904064515374,14.8641401687644,31.3634488452652,2004
"13","model predict (95% CI)",25.1320411561301,16.8282134316636,34.1241291728532,2005
"14","model predict (95% CI)",20.3794424101258,12.6624574265714,28.9320656400683,2006
"X1993","data",66,66,66,1993
"X1994","data",36,36,36,1994
"X1995","data",100,100,100,1995
"X1996","data",32,32,32,1996
"X1997","data",31,31,31,1997
"X1998","data",4,4,4,1998
"X1999","data",21,21,21,1999
"X2000","data",6,6,6,2000
"X2001","data",5,5,5,2001
"X2002","data",20,20,20,2002
"X2003","data",27,27,27,2003
"X2004","data",22,22,22,2004
"X2005","data",24,24,24,2005
"X2006","data",20,20,20,2006
