,point,mean,low,high,time,sd
1,model predict (95% CI),0.863367587,0.305687469,1.680042666,1993,1.026
2,model predict (95% CI),0.721582964,0.328926841,1.358405059,1994,0.933
3,model predict (95% CI),1.37568958,0.605758867,2.280842063,1995,0.22
4,model predict (95% CI),1.635839631,0.70678515,2.852035029,1996,0.694
5,model predict (95% CI),2.067433777,0.828615909,3.560848446,1997,0.738
6,model predict (95% CI),2.059892221,0.849435961,3.779679306,1998,0.279
7,model predict (95% CI),2.229427313,0.878326352,4.34401273,1999,0.857
8,model predict (95% CI),1.794088659,0.686498884,3.27647694,2000,0.95
9,model predict (95% CI),2.130597156,0.771027791,4.154044793,2001,0.315
10,model predict (95% CI),2.507244833,0.988981458,4.589819182,2002,1.231
11,model predict (95% CI),1.894550893,0.750628972,3.683235351,2003,0.943
12,model predict (95% CI),2.418125125,0.901339689,4.834752396,2004,0.299
13,model predict (95% CI),2.571843106,1.034975847,4.944863236,2005,1
14,model predict (95% CI),2.686102242,0.854800351,5.765303118,2006,1.243
