"","point","mean","low","high","time"
"1","model predict (95% CI)",114.09161668263,94.2140195142858,135.993686976231,1993
"2","model predict (95% CI)",34.512974309424,24.6481608592554,45.6184718901336,1994
"3","model predict (95% CI)",145.647412182758,122.697676554026,170.213308129518,1995
"4","model predict (95% CI)",57.7185237600768,43.8405438371857,72.5601939522376,1996
"5","model predict (95% CI)",59.14496776109,45.1612957658785,74.4595347478385,1997
"6","model predict (95% CI)",24.6910831829846,16.7475776006315,34.0212713397292,1998
"7","model predict (95% CI)",18.1249891082984,11.8290807544657,26.0092958489202,1999
"8","model predict (95% CI)",17.1280307396611,10.7755066479529,25.019660777532,2000
"9","model predict (95% CI)",17.6011268334607,11.4305658153251,25.2755384955669,2001
"10","model predict (95% CI)",21.6382863363824,14.3478116011473,30.4638933467635,2002
"11","model predict (95% CI)",27.1315615445417,18.6584797940425,37.2109998936928,2003
"12","model predict (95% CI)",19.9138500925274,12.969809410493,28.7322545062479,2004
"13","model predict (95% CI)",30.4510127717124,22.0596451044686,41.2575167637012,2005
"14","model predict (95% CI)",32.0699586428391,22.9843900840559,42.8313708930863,2006
"X1993","data",114,114,114,1993
"X1994","data",30,30,30,1994
"X1995","data",145,145,145,1995
"X1996","data",60,60,60,1996
"X1997","data",63,63,63,1997
"X1998","data",24,24,24,1998
"X1999","data",19,19,19,1999
"X2000","data",16,16,16,2000
"X2001","data",18,18,18,2001
"X2002","data",22,22,22,2002
"X2003","data",28,28,28,2003
"X2004","data",18,18,18,2004
"X2005","data",31,31,31,2005
"X2006","data",35,35,35,2006
