"","point","mean","low","high","time"
"1","model predict (95% CI)",336.56538878902,268.480638454103,431.187392069168,1993
"2","model predict (95% CI)",373.898501559909,319.722723246614,444.698731426768,1994
"3","model predict (95% CI)",146.425144840141,118.991917092087,177.355017268732,1995
"4","model predict (95% CI)",102.130619587104,80.599990975815,126.500976457674,1996
"5","model predict (95% CI)",69.4436464069972,51.770292154302,91.8232040964923,1997
"6","model predict (95% CI)",67.8479057053161,51.0517107648703,85.3230546774664,1998
"7","model predict (95% CI)",70.6064750673738,54.4865604882146,89.2612939934897,1999
"8","model predict (95% CI)",77.3947098071271,60.2983706077456,97.7444711015811,2000
"9","model predict (95% CI)",89.6577778798179,68.5302926337167,112.631415721965,2001
"10","model predict (95% CI)",91.0614232439167,71.2399056391103,111.106699218476,2002
"11","model predict (95% CI)",87.0164808479903,67.0145114745304,107.05079035853,2003
"12","model predict (95% CI)",86.6113773312004,59.4039415472294,114.225099125237,2004
"13","model predict (95% CI)",73.5712611750767,49.2382470232033,100.978700525657,2005
"14","model predict (95% CI)",46.3833197451702,23.0554937838502,78.0121429859594,2006
