"","point","mean","low","high","time"
"1","model predict (95% CI)",0.657813283709518,0.183754368702774,0.988448768646642,1993
"2","model predict (95% CI)",0.611017662104858,0.0908327546490937,0.987160530992097,1994
"3","model predict (95% CI)",0.694484773623972,0.119580900159696,0.988866628152501,1995
"4","model predict (95% CI)",0.790803578672055,0.283544814660034,0.992706046427708,1996
"5","model predict (95% CI)",0.616028736622257,0.0829102827678319,0.981910182429244,1997
"6","model predict (95% CI)",0.693366335938279,0.11449271860455,0.990581824583151,1998
"7","model predict (95% CI)",0.734441894859313,0.141931040904361,0.989065611184678,1999
"8","model predict (95% CI)",0.731304342190777,0.135310768775334,0.991631659091305,2000
"9","model predict (95% CI)",0.772692102547148,0.208526202353909,0.992569214443924,2001
"10","model predict (95% CI)",0.745191421141123,0.167465813680634,0.993014890756456,2002
"11","model predict (95% CI)",0.728226497802189,0.160169809619558,0.993041239393829,2003
"12","model predict (95% CI)",0.793254442157487,0.234286724618307,0.993131620875403,2004
"13","model predict (95% CI)",0.84765678868647,0.402684049299218,0.994205040312898,2005
"14","model predict (95% CI)",0.738820771881582,0.14077427863882,0.991626472517457,2006
