"","point","mean","low","high","time"
"var1","model predict (95% CI)",579.315541362277,533.901941700843,628.434148366454,1992
"var2","model predict (95% CI)",586.772298225925,541.727749842721,635.039769065398,1993
"var3","model predict (95% CI)",226.047795438632,197.804596960839,257.077336144842,1994
"var4","model predict (95% CI)",229.649908505639,199.767113254573,259.751204670642,1995
"var5","model predict (95% CI)",254.722408371693,224.8184272977,285.876002732989,1996
"var6","model predict (95% CI)",162.829625079963,139.396515073898,187.935608416293,1997
"var7","model predict (95% CI)",83.6597029795221,66.9022563062175,103.287531438643,1998
"var8","model predict (95% CI)",168.078840210129,144.348301588401,193.521025711049,1999
"var9","model predict (95% CI)",114.458031449829,94.8011311249053,135.343654172577,2000
"var10","model predict (95% CI)",128.407540963381,107.765904030539,152.590480532901,2001
"var11","model predict (95% CI)",196.290142514782,169.909283814965,224.991590320368,2002
"var12","model predict (95% CI)",228.063837508812,201.035932769864,257.385312655041,2003
"var13","model predict (95% CI)",121.946779745166,101.630493345181,144.905897584197,2004
"var14","model predict (95% CI)",159.396399243295,136.012816512824,185.861952309171,2005
"var15","model predict (95% CI)",178.796100284517,155.966337815144,205.563311410434,2006
"X1992","data",577,577,577,1992
"X1993","data",584,584,584,1993
"X1994","data",223,223,223,1994
"X1995","data",227,227,227,1995
"X1996","data",253,253,253,1996
"X1997","data",161,161,161,1997
"X1998","data",81,81,81,1998
"X1999","data",167,167,167,1999
"X2000","data",112,112,112,2000
"X2001","data",126,126,126,2001
"X2002","data",194,194,194,2002
"X2003","data",228,228,228,2003
"X2004","data",119,119,119,2004
"X2005","data",157,157,157,2005
"X2006","data",180,180,180,2006
