"","point","mean","low","high","time"
"1","model predict (95% CI)",49.2980510194179,37.3869617691549,62.3862838440725,1993
"2","model predict (95% CI)",12.1160946020162,7.70022471973259,17.6104235013827,1994
"3","model predict (95% CI)",48.8880844581807,38.909796689332,60.7140982024921,1995
"4","model predict (95% CI)",14.7126053384545,8.19704637188942,21.9140985694037,1996
"5","model predict (95% CI)",10.0518092745053,6.61946467023721,13.9122183951667,1997
"6","model predict (95% CI)",5.72745506624508,3.57301150028365,8.36882885162476,1998
"7","model predict (95% CI)",4.2349483249363,2.21652104518198,6.89076808307748,1999
"8","model predict (95% CI)",4.76900975143695,2.70677192615782,7.39025791302451,2000
"9","model predict (95% CI)",4.14934908192456,2.36897331164902,6.44614684800065,2001
"10","model predict (95% CI)",6.49123717973729,3.68187939883063,9.86470653185067,2002
"11","model predict (95% CI)",7.84592298944796,4.6897528614161,11.6516973469186,2003
"12","model predict (95% CI)",4.69126416943451,2.46068736882052,7.41041970547681,2004
"13","model predict (95% CI)",10.2051282189675,6.5600196017577,14.5600159733342,2005
"14","model predict (95% CI)",4.0066742867254,1.45921053742189,7.30724059724206,2006
"X1993","data",53,53,53,1993
"X1994","data",15,15,15,1994
"X1995","data",65,65,65,1995
"X1996","data",14,14,14,1996
"X1997","data",10,10,10,1997
"X1998","data",10,10,10,1998
"X1999","data",6,6,6,1999
"X2000","data",3,3,3,2000
"X2001","data",5,5,5,2001
"X2002","data",6,6,6,2002
"X2003","data",8,8,8,2003
"X2004","data",5,5,5,2004
"X2005","data",7,7,7,2005
"X2006","data",3,3,3,2006
