"","point","mean","low","high","time"
"1","model predict (95% CI)",0.180778786214329,0.120661203897538,0.244489307216598,1992
"2","model predict (95% CI)",0.31606019282891,0.231187856256868,0.397291351700978,1993
"3","model predict (95% CI)",0.237638434067527,0.170749382512486,0.300182959022968,1994
"4","model predict (95% CI)",0.691493781054311,0.58858441483265,0.782061621198914,1995
"5","model predict (95% CI)",0.490746944253308,0.358710844590638,0.615191197039388,1996
"6","model predict (95% CI)",0.625851354929629,0.457213882496321,0.77283571150203,1997
"7","model predict (95% CI)",0.356821281121006,0.238847845549532,0.481201061538616,1998
"8","model predict (95% CI)",0.434683468454905,0.280224835577221,0.593633511651388,1999
"9","model predict (95% CI)",0.361728824688176,0.238503188952335,0.507523006092203,2000
"10","model predict (95% CI)",0.181233330529411,0.104527878502103,0.276600128456261,2001
"11","model predict (95% CI)",0.442373068463327,0.326123484680823,0.558317951410955,2002
"12","model predict (95% CI)",0.492395650196094,0.369036546159748,0.617177613665254,2003
"13","model predict (95% CI)",0.417471688496494,0.296107950756472,0.5441011549991,2004
"14","model predict (95% CI)",0.554003352309426,0.426257138611973,0.674794675275952,2005
"15","model predict (95% CI)",0.496701192191672,0.351632229837746,0.660797780449132,2006
