"","point","mean","low","high","time"
"1","model predict (95% CI)",17.4601696355389,10.2659826993224,26.2935244152199,1993
"2","model predict (95% CI)",12.7909890168158,6.60053137799724,20.9736924329447,1994
"3","model predict (95% CI)",70.8279256885005,55.2584673291334,88.1591960098366,1995
"4","model predict (95% CI)",36.5063789092147,25.7305946310157,48.6787895156352,1996
"5","model predict (95% CI)",34.4619771935096,24.203796997526,46.6434963344706,1997
"6","model predict (95% CI)",20.924780122744,13.4588399457601,30.1401780802202,1998
"7","model predict (95% CI)",11.1244004514291,5.78464208826445,17.9879638624069,1999
"8","model predict (95% CI)",17.312050560015,10.6339934124585,25.3388885511262,2000
"9","model predict (95% CI)",5.25924818378454,1.83264774194711,9.96358846489628,2001
"10","model predict (95% CI)",32.4290799846399,23.2370443499494,43.2367331905813,2002
"11","model predict (95% CI)",44.6646396705207,33.836671837045,57.6658505146242,2003
"12","model predict (95% CI)",23.6533016918155,15.4036442281679,33.0272435561755,2004
"13","model predict (95% CI)",43.0640434201479,31.9356095458361,55.3834827210279,2005
"14","model predict (95% CI)",39.9792400545518,29.5641782365555,52.0877147548961,2006
"X1993","data",15,15,15,1993
"X1994","data",10,10,10,1994
"X1995","data",68,68,68,1995
"X1996","data",35,35,35,1996
"X1997","data",34,34,34,1997
"X1998","data",20,20,20,1998
"X1999","data",10,10,10,1999
"X2000","data",18,18,18,2000
"X2001","data",3,3,3,2001
"X2002","data",35,35,35,2002
"X2003","data",47,47,47,2003
"X2004","data",23,23,23,2004
"X2005","data",47,47,47,2005
"X2006","data",44,44,44,2006
