"","point","mean","low","high","time"
"1","model predict (95% CI)",25.9746478442736,6.66996667941618,98.1962847118367,1996
"2","model predict (95% CI)",14.4289265530609,3.42577475458685,54.8134726870188,1997
"3","model predict (95% CI)",8.81530652569215,1.80000104493454,39.2141373477134,1998
"4","model predict (95% CI)",9.37726896503852,2.0100768582553,42.0914152696237,1999
"5","model predict (95% CI)",11.5280271809126,2.31667967271648,51.154490221615,2000
"6","model predict (95% CI)",16.9424723893767,3.95577011435301,60.320964474511,2001
"7","model predict (95% CI)",12.9319220404144,2.50598851101368,47.9472270317816,2002
"8","model predict (95% CI)",15.6108561961445,3.77969338102207,57.2291698502832,2003
"9","model predict (95% CI)",17.2172464792251,3.8257772174363,61.5704830173691,2004
"10","model predict (95% CI)",9.06104108116216,1.47253931824045,41.0304553823778,2005
"11","model predict (95% CI)",6.36212517057044,0.359902412861396,41.9846235207956,2006
"X1996","data",27,27,27,1996
"X1997","data",19,19,19,1997
"X1998","data",4,4,4,1998
"X1999","data",10,10,10,1999
"X2000","data",12,12,12,2000
"X2001","data",9,9,9,2001
"X2002","data",16,16,16,2002
"X2003","data",20,20,20,2003
"X2004","data",8,8,8,2004
"X2005","data",8,8,8,2005
"X2006","data",3,3,3,2006
