"","point","mean","low","high","time"
"1","model predict (95% CI)",8.10487435821312,1.0767302096697,23.5041556318565,1993
"2","model predict (95% CI)",3.87270379205179,0.938969552687306,10.10667814141,1994
"3","model predict (95% CI)",4.5070463930983,0.909936265107542,11.5168751481588,1995
"4","model predict (95% CI)",2.78940453735698,0.701433629320898,6.97045472640183,1996
"5","model predict (95% CI)",2.08164399901995,0.270953916589297,5.94337371483242,1997
"6","model predict (95% CI)",0.027473410050143,3.07348150587021e-05,0.396026846469626,1998
"7","model predict (95% CI)",0.891639341368476,0.149867346769216,2.38981427998447,1999
"8","model predict (95% CI)",0.0084264569490276,2.84090449603007e-05,0.11957945987792,2000
"9","model predict (95% CI)",0.669266689440884,0.106688117634009,1.74061649951839,2001
"10","model predict (95% CI)",0.970562515774607,0.150377517712174,2.56396840417148,2002
"11","model predict (95% CI)",0.010225646050442,2.78070996608672e-05,0.142601080621338,2003
"12","model predict (95% CI)",0.0439765228044306,0.00464261820202551,0.210529923046215,2004
"13","model predict (95% CI)",0.0463965743369253,0.00593535843495059,0.203076379251976,2005
"14","model predict (95% CI)",0.961723265227727,0.157287858513345,2.62003496456185,2006
"X1993","data",6,6,6,1993
"X1994","data",2,2,2,1994
"X1995","data",5,5,5,1995
"X1996","data",5,5,5,1996
"X1997","data",1,1,1,1997
"X1998","data",0,0,0,1998
"X1999","data",1,1,1,1999
"X2000","data",0,0,0,2000
"X2001","data",1,1,1,2001
"X2002","data",1,1,1,2002
"X2003","data",0,0,0,2003
"X2004","data",0,0,0,2004
"X2005","data",5,5,5,2005
"X2006","data",1,1,1,2006
