"","point","mean","low","high","time"
"1","model predict",36.9741282824217,7.11184394922309,97.6924687910447,1
"2","model predict",51.7131071115467,15.2528596538561,110.874177673869,2
"3","model predict",42.5057878224273,16.599449128547,80.3457161573625,3
"4","model predict",32.7610599306427,15.6131337744266,55.6814490339167,4
"5","model predict",28.1989513205521,13.534458744458,47.9615311112428,5
"6","model predict",22.6470335913311,11.1814497710256,38.3824648599739,6
"7","model predict",18.9843799058372,9.07724062360594,33.4039419941889,7
"8","model predict",15.6033607355581,7.40364696704988,27.7305614077298,8
"9","model predict",13.0098611682116,5.92031893442091,23.8909481461797,9
"10","model predict",10.7940990875161,4.68834393860515,20.3293308096404,10
"11","model predict",9.02513512092403,3.67963352542382,17.5499904364082,11
"12","model predict",7.53839614765358,2.86685471027244,15.1104736263544,12
"13","model predict",6.32643744048265,2.21465132938101,13.1145909256695,13
"14","model predict",5.31563634369926,1.7024857603474,11.4262482616532,14
"X1993","data",106,106,106,1
"X1994","data",23,23,23,2
"X1995","data",120,120,120,3
"X1996","data",27,27,27,4
"X1997","data",19,19,19,5
"X1998","data",4,4,4,6
"X1999","data",10,10,10,7
"X2000","data",12,12,12,8
"X2001","data",9,9,9,9
"X2002","data",16,16,16,10
"X2003","data",20,20,20,11
"X2004","data",8,8,8,12
"X2005","data",8,8,8,13
"X2006","data",3,3,3,14
