"","point","mean","low","high","time"
"1","model predict",2.91341654639135,0.302575202274649,11.7829923044888,1
"2","model predict",9.97855127267877,0.5687365981479,30.5321783127293,2
"3","model predict",2.85342355313341,0.518013119527153,8.34091022624811,3
"4","model predict",2.03819569419358,0.499406878235276,5.18659110997183,4
"5","model predict",2.34538548002958,0.385383009190437,6.04162024066372,5
"6","model predict",1.94488061968489,0.652687939990338,4.47372376868415,6
"7","model predict",1.54297346112303,0.502328479754031,3.3173345814084,7
"8","model predict",1.28512198464591,0.425384470803977,2.7039694197053,8
"9","model predict",1.06167978269195,0.356601723360918,2.25863511565277,9
"10","model predict",0.88834960437709,0.292402670054322,1.90655879336369,10
"11","model predict",0.73874263421482,0.236158353369107,1.60696861571987,11
"12","model predict",0.616713305974365,0.190446203700283,1.36821852255437,12
"13","model predict",0.517352682137246,0.15250101461234,1.17007529860058,13
"14","model predict",0.434443262021592,0.121075072409002,1.01262233690708,14
"X1993","data",20,20,20,1
"X1994","data",6,6,6,2
"X1995","data",18,18,18,3
"X1996","data",7,7,7,4
"X1997","data",5,5,5,5
"X1998","data",1,1,1,6
"X1999","data",2,2,2,7
"X2000","data",2,2,2,8
"X2001","data",1,1,1,9
"X2002","data",2,2,2,10
"X2003","data",1,1,1,11
"X2004","data",1,1,1,12
"X2005","data",0,0,0,13
"X2006","data",2,2,2,14
