"","point","mean","low","high","time"
"1","model predict (95% CI)",578.598418387756,526.401654561718,619.560308224092,1992
"2","model predict (95% CI)",588.100151970592,544.175273792399,627.819997060996,1993
"3","model predict (95% CI)",226.039962454909,199.668088968692,255.165994922817,1994
"4","model predict (95% CI)",230.095028425906,202.378829518055,259.543815994427,1995
"5","model predict (95% CI)",255.689590262852,224.300644709607,285.175129867234,1996
"6","model predict (95% CI)",160.455342527595,138.452312113273,186.997623879856,1997
"7","model predict (95% CI)",85.0036731677534,64.5655364492863,104.233414812286,1998
"8","model predict (95% CI)",165.630911748576,145.322499928905,192.171959782551,1999
"9","model predict (95% CI)",115.216820169471,93.9168896384192,139.435059461863,2000
"10","model predict (95% CI)",127.912206725923,107.259225696168,150.600446843421,2001
"11","model predict (95% CI)",197.15019109596,169.696905627168,223.824001531183,2002
"12","model predict (95% CI)",228.667911301972,203.725834034129,258.622349221755,2003
"13","model predict (95% CI)",122.002157056907,101.515718564081,145.792487119407,2004
"14","model predict (95% CI)",158.965870255667,135.723738419299,183.044920422033,2005
"15","model predict (95% CI)",178.970258479217,159.092548510909,200.758509090385,2006
"X1992","data",577,577,577,1992
"X1993","data",584,584,584,1993
"X1994","data",223,223,223,1994
"X1995","data",227,227,227,1995
"X1996","data",253,253,253,1996
"X1997","data",161,161,161,1997
"X1998","data",81,81,81,1998
"X1999","data",167,167,167,1999
"X2000","data",112,112,112,2000
"X2001","data",126,126,126,2001
"X2002","data",194,194,194,2002
"X2003","data",228,228,228,2003
"X2004","data",119,119,119,2004
"X2005","data",157,157,157,2005
"X2006","data",180,180,180,2006
