"","point","mean","low","high","time"
"1","model predict (95% CI)",49.0733039307325,38.9985275021117,61.2551671038065,1993
"2","model predict (95% CI)",11.9548399947008,7.66830882111292,16.7722121641127,1994
"3","model predict (95% CI)",48.813860938593,38.2407683005033,61.5830639137299,1995
"4","model predict (95% CI)",14.8608043106867,8.30773974768363,21.6092120574234,1996
"5","model predict (95% CI)",9.87751823911743,6.66719876528551,13.8201782071557,1997
"6","model predict (95% CI)",5.74664422263606,3.6004589401525,8.26338565708743,1998
"7","model predict (95% CI)",4.40589967613421,2.2756330074691,7.09525715864018,1999
"8","model predict (95% CI)",4.91735967452339,2.76637715756331,7.98590195175027,2000
"9","model predict (95% CI)",4.19690005774643,2.35719508446715,6.41818779421566,2001
"10","model predict (95% CI)",6.36913057269915,3.55999336139388,9.77840944223865,2002
"11","model predict (95% CI)",7.73625259081507,4.80799933961947,11.5581786872262,2003
"12","model predict (95% CI)",4.68385715679022,2.48720737268756,7.29822416015884,2004
"13","model predict (95% CI)",10.3065908477511,6.91993125313968,14.4286776311872,2005
"14","model predict (95% CI)",4.12529626930679,1.81624834599906,7.62924384232188,2006
"X1993","data",53,53,53,1993
"X1994","data",15,15,15,1994
"X1995","data",65,65,65,1995
"X1996","data",14,14,14,1996
"X1997","data",10,10,10,1997
"X1998","data",10,10,10,1998
"X1999","data",6,6,6,1999
"X2000","data",3,3,3,2000
"X2001","data",5,5,5,2001
"X2002","data",6,6,6,2002
"X2003","data",8,8,8,2003
"X2004","data",5,5,5,2004
"X2005","data",7,7,7,2005
"X2006","data",3,3,3,2006
