"","point","mean","low","high","time"
"1","model predict (95% CI)",0.249035812336648,0.11606539249182,0.409736268326521,1992
"2","model predict (95% CI)",0.240531656137456,0.149851581940514,0.402198437284633,1993
"3","model predict (95% CI)",0.165487854672195,0.084355811626094,0.312357080399739,1994
"4","model predict (95% CI)",0.570705706793963,0.416919664620627,0.699794134579091,1995
"5","model predict (95% CI)",0.353013052528318,0.216370087649318,0.506472208850645,1996
"6","model predict (95% CI)",0.415139212617278,0.302709398540686,0.550738180777195,1997
"7","model predict (95% CI)",0.340933172074026,0.182318380453146,0.524562435992474,1998
"8","model predict (95% CI)",0.253136061631592,0.157892241176741,0.355975651353939,1999
"9","model predict (95% CI)",0.275099910450314,0.165217372826553,0.445868577037833,2000
"10","model predict (95% CI)",0.17008280374239,0.105830594841212,0.268595907896351,2001
"11","model predict (95% CI)",0.22610455253014,0.154434811648916,0.292630957846476,2002
"12","model predict (95% CI)",0.259950486096487,0.155322316097542,0.3596498012879,2003
"13","model predict (95% CI)",0.195665707797357,0.126040887848237,0.270975042106991,2004
"14","model predict (95% CI)",0.251132659142701,0.168676692561759,0.343757790667887,2005
"15","model predict (95% CI)",0.284261853043105,0.166986088686248,0.445011025723048,2006
