"","point","mean","low","high","time"
"1","model predict (95% CI)",105.59321626677,88.2344657715689,127.507279061373,1993
"2","model predict (95% CI)",49.143279349741,36.6515101517965,63.8566141245207,1994
"3","model predict (95% CI)",174.56304208365,148.013556923722,203.639532145637,1995
"4","model predict (95% CI)",53.5809071553023,38.5906171410929,69.370367996619,1996
"5","model predict (95% CI)",51.7408812697528,39.6593234128371,64.2573625141716,1997
"6","model predict (95% CI)",25.5143042958906,16.6384521729586,36.2929590815867,1998
"7","model predict (95% CI)",19.5365683455648,12.8863318512266,27.2335128423216,1999
"8","model predict (95% CI)",20.4843548686244,13.5004542082633,28.632969374751,2000
"9","model predict (95% CI)",16.6057929401765,10.4791283110944,25.6791665598961,2001
"10","model predict (95% CI)",29.2555014554448,20.4349281346115,38.446458999187,2002
"11","model predict (95% CI)",26.6263175232085,18.6716790838628,37.0235214389049,2003
"12","model predict (95% CI)",20.7934511496303,13.4034073917274,29.5173529164336,2004
"13","model predict (95% CI)",29.9289970481721,21.0772994551626,40.966170037546,2005
"14","model predict (95% CI)",26.4658230269965,19.0535631822941,35.7429171131031,2006
"X1993","data",103,103,103,1993
"X1994","data",45,45,45,1994
"X1995","data",173,173,173,1995
"X1996","data",53,53,53,1996
"X1997","data",53,53,53,1997
"X1998","data",24,24,24,1998
"X1999","data",20,20,20,1999
"X2000","data",19,19,19,2000
"X2001","data",16,16,16,2001
"X2002","data",29,29,29,2002
"X2003","data",26,26,26,2003
"X2004","data",19,19,19,2004
"X2005","data",29,29,29,2005
"X2006","data",26,26,26,2006
