"","point","mean","low","high","time"
"1","model predict (95% CI)",143.951357986294,101.559777997026,206.950546672927,1993
"2","model predict (95% CI)",119.06738620314,85.601974349063,164.11415316907,1994
"3","model predict (95% CI)",43.3159269082142,27.5877070552539,66.848726934321,1995
"4","model predict (95% CI)",31.194281610163,17.8152116227582,51.5023932590594,1996
"5","model predict (95% CI)",18.8412898264378,8.20916141332436,37.6932280366047,1997
"6","model predict (95% CI)",13.3413026575855,5.35782280515415,24.6766852096225,1998
"7","model predict (95% CI)",24.2178899317192,12.2071219565784,41.5121688390714,1999
"8","model predict (95% CI)",14.7588421707509,6.13737478154984,26.5481184643007,2000
"9","model predict (95% CI)",28.0772842704172,13.5724812554906,46.5252266246913,2001
"10","model predict (95% CI)",24.1811557705703,14.1584259649339,39.1141218027986,2002
"11","model predict (95% CI)",27.1864081814265,15.353756197111,44.2619893757361,2003
"12","model predict (95% CI)",31.6813420263433,17.6815109547754,51.5212748813937,2004
"13","model predict (95% CI)",20.6824199643225,11.0115526456648,35.2680524853206,2005
"14","model predict (95% CI)",21.3936780719485,9.47961104730878,38.6604186856548,2006
