"","point","mean","low","high","time"
"1","model predict (95% CI)",0.804530708371717,0.284789773673497,0.993158444249307,1993
"2","model predict (95% CI)",0.795894816129093,0.227056796792134,0.992343818218238,1994
"3","model predict (95% CI)",0.818029164994671,0.302161222227663,0.993319497340664,1995
"4","model predict (95% CI)",0.802586940488484,0.285671764873573,0.992951179835163,1996
"5","model predict (95% CI)",0.731083051532705,0.168820806897582,0.989485481599386,1997
"6","model predict (95% CI)",0.547872176341427,0.0659230982498389,0.976490536323794,1998
"7","model predict (95% CI)",0.837180411791961,0.4441172337321,0.99405533659166,1999
"8","model predict (95% CI)",0.666792096670122,0.102149737847392,0.988848326785498,2000
"9","model predict (95% CI)",0.751250834452686,0.236600932162376,0.991864122854342,2001
"10","model predict (95% CI)",0.805688438633779,0.306880426801911,0.994249544418665,2002
"11","model predict (95% CI)",0.821115226765578,0.408920066277106,0.99332719777573,2003
"12","model predict (95% CI)",0.740270205866772,0.217678993994221,0.991643866365216,2004
"13","model predict (95% CI)",0.71454869213521,0.16685494660634,0.992526483138106,2005
"14","model predict (95% CI)",0.771910481448591,0.266074153080526,0.991737490120738,2006
