"","point","mean","low","high","time"
"1","model predict (95% CI)",89.4057874085165,71.6678034584939,110.680307885675,1993
"2","model predict (95% CI)",152.91334184845,125.532572398536,184.303377236655,1994
"3","model predict (95% CI)",47.7269268634119,37.2572765633052,60.7419583417192,1995
"4","model predict (95% CI)",38.6282726434442,28.0876281525475,51.6420065755622,1996
"5","model predict (95% CI)",28.3761937437712,18.4619244002618,43.2203766460931,1997
"6","model predict (95% CI)",31.9884543263143,21.3005106819789,46.1816833971358,1998
"7","model predict (95% CI)",34.8244095969879,24.2566534828708,47.8260258725089,1999
"8","model predict (95% CI)",36.6906574667123,25.7974962926295,50.7043873479498,2000
"9","model predict (95% CI)",38.3127110826969,25.5608332930601,52.8360248208303,2001
"10","model predict (95% CI)",40.230307170711,28.3284416949199,53.7754873769293,2002
"11","model predict (95% CI)",39.3314855615964,28.3637468345901,52.7840278026346,2003
"12","model predict (95% CI)",31.6084519676079,17.159479482438,52.7528557495897,2004
"13","model predict (95% CI)",39.1140992021255,23.3467013020394,59.4985654342901,2005
"14","model predict (95% CI)",29.4979124166026,14.3336179656271,51.6450073391506,2006
