"","point","mean","low","high","time"
"1","model predict (95% CI)",0.825726868258989,0.496570191508272,0.992186687139807,1993
"2","model predict (95% CI)",0.786740048505219,0.351710797649693,0.993024154822259,1994
"3","model predict (95% CI)",0.864921486060614,0.580769653494358,0.993887033460339,1995
"4","model predict (95% CI)",0.871853102496803,0.584055136496804,0.994126925495941,1996
"5","model predict (95% CI)",0.821124319665252,0.427524354301946,0.993133802698919,1997
"6","model predict (95% CI)",0.788459526656859,0.31097198040102,0.992704710942652,1998
"7","model predict (95% CI)",0.848112655505793,0.463574602093884,0.993817523817993,1999
"8","model predict (95% CI)",0.835307025887376,0.435116851379475,0.993240364837641,2000
"9","model predict (95% CI)",0.766179640113485,0.236731037928821,0.992488799682157,2001
"10","model predict (95% CI)",0.879546425337251,0.582562132396337,0.995072883143193,2002
"11","model predict (95% CI)",0.773944854667857,0.267286978376109,0.990710768026323,2003
"12","model predict (95% CI)",0.839740738766369,0.459544161063035,0.99289163428388,2004
"13","model predict (95% CI)",0.576403516167891,0.0949979273438668,0.981960932332862,2005
"14","model predict (95% CI)",0.788312064314856,0.325329468125733,0.992780592116701,2006
