"","point","mean","low","high","time"
"1","model predict",5.14717244935047,4.59129873407442,5.76298246107145,1
"2","model predict",11.9073941358037,10.6421066895229,13.141371621586,2
"3","model predict",10.4945683490721,9.56501066409531,11.4642502018812,3
"4","model predict",11.7121820943416,10.9939843195897,12.4646114736585,4
"5","model predict",12.1838187147725,11.4679363849355,12.9213778709159,5
"6","model predict",12.8779061200922,12.1471434281145,13.6442791392573,6
"7","model predict",13.4612710741692,12.6675836685876,14.2815588307657,7
"8","model predict",14.0783690653785,13.2027138661346,14.9784267085976,8
"9","model predict",14.6571196576388,13.6847071555096,15.6541953901823,9
"10","model predict",15.226308453649,14.1347238586146,16.3443816235936,10
"11","data",5,5,5,1
"12","data",13,13,13,2
"13","data",10,10,10,3
"14","data",11,11,11,4
"15","data",12,12,12,5
"16","data",13,13,13,6
"17","data",13,13,13,7
"18","data",14,14,14,8
"19","data",16,16,16,9
"20","data",14,14,14,10
