"","point","mean","low","high","time"
"1","model predict",8.66998458046548,7.81884181220453,9.57747689406066,1
"2","model predict",5.78461032433704,5.0226884155355,6.61556549482682,2
"3","model predict",9.3621546828639,8.47513688333492,10.5077452189797,3
"4","model predict",8.61503965933641,7.82991486086081,9.43025257152267,4
"5","model predict",10.5732649820907,9.83738455645435,11.3693106581743,5
"6","model predict",11.2068055279255,10.35840146815,12.1049173170296,6
"7","model predict",12.6854134759649,11.7646044043494,13.6538421602631,7
"8","model predict",13.8840234620279,12.804260591591,15.0584685058339,8
"9","model predict",15.4025142621128,14.0491324471251,16.8741383060788,9
"10","model predict",16.926659316451,15.151894568747,18.9444668565515,10
"11","data",9,9,9,1
"12","data",6,6,6,2
"13","data",9,9,9,3
"14","data",8,8,8,4
"15","data",11,11,11,5
"16","data",9,9,9,6
"17","data",12,12,12,7
"18","data",16,16,16,8
"19","data",16,16,16,9
"20","data",17,17,17,10
