"","point","mean","low","high","time"
"1","model predict (95% CI)",47.9125145949125,9.78606809402129,143.723258528787,1993
"2","model predict (95% CI)",26.437003545606,3.64955462253527,87.9678604284543,1994
"3","model predict (95% CI)",71.725915567711,17.9044077072362,199.786435606849,1995
"4","model predict (95% CI)",35.7696711149718,11.0729610337806,88.752931494386,1996
"5","model predict (95% CI)",51.6519380017187,17.710064811662,121.193245498432,1997
"6","model predict (95% CI)",5.87999189217707,0.959903638868743,16.8557088431045,1998
"7","model predict (95% CI)",37.6155116186073,11.7578253942188,89.6109402463633,1999
"8","model predict (95% CI)",6.30688246056234,1.53035149941834,16.3041825753307,2000
"9","model predict (95% CI)",26.4348393571567,6.48495836762281,70.5720272239031,2001
"10","model predict (95% CI)",10.5625958519752,2.37322085112003,26.8785389034549,2002
"11","model predict (95% CI)",18.6852582391134,4.2116138647025,49.7173666479615,2003
"12","model predict (95% CI)",7.98660159367265,1.28753945955522,23.4362321340472,2004
"13","model predict (95% CI)",18.4433220910445,4.18621871033322,50.4785985812554,2005
"14","model predict (95% CI)",15.7171523950896,3.81709043563396,38.607285180815,2006
"X1993","data",106,106,106,1993
"X1994","data",23,23,23,1994
"X1995","data",120,120,120,1995
"X1996","data",27,27,27,1996
"X1997","data",19,19,19,1997
"X1998","data",4,4,4,1998
"X1999","data",10,10,10,1999
"X2000","data",12,12,12,2000
"X2001","data",9,9,9,2001
"X2002","data",16,16,16,2002
"X2003","data",20,20,20,2003
"X2004","data",8,8,8,2004
"X2005","data",8,8,8,2005
"X2006","data",3,3,3,2006
