"","point","mean","low","high","time"
"1","model predict (95% CI)",1.65681503597483,1.06424836862873,2.58401432253747,1993
"2","model predict (95% CI)",1.72517522284424,1.09804680956971,2.58512197204195,1994
"3","model predict (95% CI)",1.82711165282142,1.17408899467916,2.84266887437177,1995
"4","model predict (95% CI)",0.905770313622257,0.565193561894561,1.38260167723312,1996
"5","model predict (95% CI)",1.90502098597655,1.23329693223001,2.84253718354252,1997
"6","model predict (95% CI)",2.15342700858847,1.21937310314412,3.30579719728104,1998
"7","model predict (95% CI)",2.39730761096067,1.45410575554521,3.64455103652698,1999
"8","model predict (95% CI)",1.94149164136614,1.08216492570177,2.90510054480088,2000
"9","model predict (95% CI)",1.8636157581105,1.21158754752098,2.80708847926893,2001
"10","model predict (95% CI)",1.98564959071421,1.2970391760183,3.06200088192584,2002
"11","model predict (95% CI)",2.14260990049081,1.32081702593473,3.2630768537839,2003
"12","model predict (95% CI)",2.00990124326443,1.30213127011158,2.91974251490563,2004
"13","model predict (95% CI)",1.81802403225247,1.05250412314121,2.85048732538987,2005
"14","model predict (95% CI)",2.25760353579118,1.3939329518652,3.35119863691798,2006
