"","point","mean","low","high","time"
"1","model predict (95% CI)",930.717740474992,389.648079813793,2155.34310092775,1992
"2","model predict (95% CI)",662.483440426977,279.440670465274,1431.5069325413,1993
"3","model predict (95% CI)",541.086887091051,245.416011003827,992.359650295471,1994
"4","model predict (95% CI)",396.19426062492,197.74286669901,718.618420926973,1995
"5","model predict (95% CI)",267.466427648834,122.535109870468,470.094838970278,1996
"6","model predict (95% CI)",212.349649016474,98.250240043114,376.018680608541,1997
"7","model predict (95% CI)",164.699683152826,71.6111538880214,285.782783321076,1998
"8","model predict (95% CI)",155.196233721066,69.4112294293354,283.17247371931,1999
"9","model predict (95% CI)",133.424960337175,55.3678960925869,242.395300949371,2000
"10","model predict (95% CI)",158.759069181705,65.6287858732348,291.170611847416,2001
"11","model predict (95% CI)",134.335292370649,51.8129887652176,250.981131821266,2002
"12","model predict (95% CI)",118.919423198987,42.5993790311453,233.173786736145,2003
"13","model predict (95% CI)",110.999375862186,34.4174743819482,241.756271133223,2004
"14","model predict (95% CI)",89.7343425895335,24.884150323668,207.626698995329,2005
"15","model predict (95% CI)",59.226975882076,16.5112770234581,145.808356508839,2006
