"","point","mean","low","high","time"
"1","model predict (95% CI)",108.548106646099,39.672165126612,253.065381811261,1993
"2","model predict (95% CI)",69.9227154400598,26.3313722573618,150.188853306618,1994
"3","model predict (95% CI)",134.540322908994,64.7545951928572,259.775154301864,1995
"4","model predict (95% CI)",41.1335192993482,17.3451193125685,81.6337916840089,1996
"5","model predict (95% CI)",41.3296969581648,17.7399347465574,82.1718640969675,1997
"6","model predict (95% CI)",17.4621789678729,7.02882927142328,36.1630285787083,1998
"7","model predict (95% CI)",15.97074086347,6.84012835607721,33.4559660608678,1999
"8","model predict (95% CI)",14.8243351018304,5.05850938159228,31.5083891590427,2000
"9","model predict (95% CI)",16.3235580212091,6.92126154676696,33.8690426381848,2001
"10","model predict (95% CI)",13.3563751850031,5.01067366703703,27.806643094353,2002
"11","model predict (95% CI)",19.8084177160499,7.42654083509408,39.7978090036165,2003
"12","model predict (95% CI)",16.3941167957478,5.38338652494731,34.5084867704421,2004
"13","model predict (95% CI)",19.75347602654,7.18834768017273,41.5770682925574,2005
"14","model predict (95% CI)",14.3661817939526,4.77991165731289,31.9456391131112,2006
"X1993","data",114,114,114,1993
"X1994","data",30,30,30,1994
"X1995","data",145,145,145,1995
"X1996","data",60,60,60,1996
"X1997","data",63,63,63,1997
"X1998","data",24,24,24,1998
"X1999","data",19,19,19,1999
"X2000","data",16,16,16,2000
"X2001","data",18,18,18,2001
"X2002","data",22,22,22,2002
"X2003","data",28,28,28,2003
"X2004","data",18,18,18,2004
"X2005","data",31,31,31,2005
"X2006","data",35,35,35,2006
