"","point","mean","low","high","time"
"1","model predict (95% CI)",138.923695665842,47.9995115958452,311.542172133131,1993
"2","model predict (95% CI)",60.8272411930438,23.1968547167622,128.046531618049,1994
"3","model predict (95% CI)",149.650479389884,71.1447436421441,292.279403977363,1995
"4","model predict (95% CI)",77.0867774854298,30.907828131988,148.549247490036,1996
"5","model predict (95% CI)",68.2515200572306,26.595987273832,135.524914451658,1997
"6","model predict (95% CI)",46.9846964115592,18.2988865496786,92.2541431321714,1998
"7","model predict (95% CI)",22.4232490560136,9.52230365625472,47.84066550473,1999
"8","model predict (95% CI)",28.7270008770042,10.3705541842016,57.1358986630094,2000
"9","model predict (95% CI)",17.6851241979934,6.8672585039158,35.5514557769104,2001
"10","model predict (95% CI)",31.3929422638903,12.6727229403373,58.4416529604527,2002
"11","model predict (95% CI)",27.9483849931683,10.5875213314668,56.2440101199442,2003
"12","model predict (95% CI)",25.6366505023301,8.73664487614421,50.0981464322095,2004
"13","model predict (95% CI)",33.6933005185556,12.1318989002814,70.8834638810398,2005
"14","model predict (95% CI)",25.4447009143416,9.32273723769536,55.1343297684647,2006
"X1993","data",103,103,103,1993
"X1994","data",45,45,45,1994
"X1995","data",173,173,173,1995
"X1996","data",53,53,53,1996
"X1997","data",53,53,53,1997
"X1998","data",24,24,24,1998
"X1999","data",20,20,20,1999
"X2000","data",19,19,19,2000
"X2001","data",16,16,16,2001
"X2002","data",29,29,29,2002
"X2003","data",26,26,26,2003
"X2004","data",19,19,19,2004
"X2005","data",29,29,29,2005
"X2006","data",26,26,26,2006
