"","point","mean","low","high","time"
"1","model predict (95% CI)",0.608347441160802,1.71663063160709e-05,0.999999359859423,1993
"2","model predict (95% CI)",0.638112156577866,0.00494159544028026,0.998319467065394,1994
"3","model predict (95% CI)",0.803036481202369,0.222823322439051,0.998925180460468,1995
"4","model predict (95% CI)",0.733398911429638,0.00636523108683547,0.999922193377305,1996
"5","model predict (95% CI)",0.61114470215084,0.000354463831561196,0.99999819752551,1997
"6","model predict (95% CI)",0.319858707634187,1.59502246265792e-05,0.990224376318869,1998
"7","model predict (95% CI)",0.638394934793417,0.00370503415162752,0.999937852531537,1999
"8","model predict (95% CI)",0.165469060238277,1.8866434999515e-06,0.980265216304802,2000
"9","model predict (95% CI)",0.728791923027574,0.00689893798983697,0.999997395880202,2001
"10","model predict (95% CI)",0.794050018654395,0.0597056220405833,0.999999653354148,2002
"11","model predict (95% CI)",0.742130402318341,0.0253308154424706,0.999924350203844,2003
"12","model predict (95% CI)",0.647360219335518,0.00248349909304846,0.998654702174568,2004
"13","model predict (95% CI)",0.747576631624331,0.0946773817326083,0.999556104888355,2005
"14","model predict (95% CI)",0.793205923132676,0.0928086003779151,0.999942174940933,2006
