"","point","mean","low","high","time"
"1","model predict (95% CI)",0.65742926299353,0.0751452473259381,0.991126366229649,1993
"2","model predict (95% CI)",0.798255506532692,0.206459618742009,0.999175087513422,1994
"3","model predict (95% CI)",0.844543247018958,0.302337678192644,0.999946289779868,1995
"4","model predict (95% CI)",0.815122531976932,0.193597026099974,0.999575225909567,1996
"5","model predict (95% CI)",0.834960346377528,0.212264309137901,0.999858650021641,1997
"6","model predict (95% CI)",0.882197569425362,0.31627378572952,0.999999898483265,1998
"7","model predict (95% CI)",0.863819065507661,0.360370195105026,0.999447245554758,1999
"8","model predict (95% CI)",0.754881746418876,0.182164851400108,0.998127334908756,2000
"9","model predict (95% CI)",0.623900557296895,0.0127938952605635,0.998901431212922,2001
"10","model predict (95% CI)",0.85209864556675,0.305309344347864,0.999957226142125,2002
"11","model predict (95% CI)",0.82868827371002,0.145863604473085,0.999785938166487,2003
"12","model predict (95% CI)",0.947930715676597,0.595042520870521,0.999999822230483,2004
"13","model predict (95% CI)",0.129138753552228,0.000827482784289391,0.931446694900106,2005
"14","model predict (95% CI)",0.777653829505545,0.0974851662249552,0.999984822155786,2006
