"","point","mean","low","high","time"
"1","model predict (95% CI)",14.7932347224788,2.15892050092857,49.0587937357173,1996
"2","model predict (95% CI)",3.50954246909937,0.425714187919476,11.9223208837406,1997
"3","model predict (95% CI)",4.5143300363219,0.95869610245623,12.026594542066,1998
"4","model predict (95% CI)",3.31734478741751,0.648954707886661,9.20081926083832,1999
"5","model predict (95% CI)",1.58422963539244,0.149730852062822,5.75294080953711,2000
"6","model predict (95% CI)",3.09931257460715,0.562743291132098,9.27411682179561,2001
"7","model predict (95% CI)",2.70607515305802,0.35705882002307,8.89842568999527,2002
"8","model predict (95% CI)",4.68388903081302,1.01852000581206,12.5925953895659,2003
"9","model predict (95% CI)",1.92237982217288,0.119474307550205,6.15375393008541,2004
"10","model predict (95% CI)",3.16767464416807,0.536380310061183,9.68137920145946,2005
"11","model predict (95% CI)",4.5273989460942,0.55851246441973,13.7652801782901,2006
"X1996","data",12,12,12,1996
"X1997","data",2,2,2,1997
"X1998","data",3,3,3,1998
"X1999","data",3,3,3,1999
"X2000","data",2,2,2,2000
"X2001","data",2,2,2,2001
"X2002","data",5,5,5,2002
"X2003","data",3,3,3,2003
"X2004","data",4,4,4,2004
"X2005","data",3,3,3,2005
"X2006","data",11,11,11,2006
