"","point","mean","low","high","time"
"1","model predict (95% CI)",0.772047288144256,0.0948928134356418,0.999765966622117,1993
"2","model predict (95% CI)",0.81055193081538,0.194265773113761,0.999998640400082,1994
"3","model predict (95% CI)",0.881743635910084,0.461417516555887,0.999971116650408,1995
"4","model predict (95% CI)",0.812404166107207,0.238514323162111,0.99975549353298,1996
"5","model predict (95% CI)",0.823155581894027,0.274767439730949,0.999794516635633,1997
"6","model predict (95% CI)",0.774110383304854,0.0949070922362024,0.999956750199454,1998
"7","model predict (95% CI)",0.890345647301373,0.4589775918144,0.999985853256191,1999
"8","model predict (95% CI)",0.793613735458438,0.19762312908453,0.997911915994542,2000
"9","model predict (95% CI)",0.595194125138724,0.0239704519268886,0.994022971392329,2001
"10","model predict (95% CI)",0.771098040974164,0.181078199971227,0.999362063031874,2002
"11","model predict (95% CI)",0.71491998725204,0.0285132663388233,0.999999096373801,2003
"12","model predict (95% CI)",0.841834879779062,0.251293085028165,0.999871984269081,2004
"13","model predict (95% CI)",0.303613051665551,0.00257899154340872,0.929295942326986,2005
"14","model predict (95% CI)",0.852051218005898,0.214837023880565,0.999999326589923,2006
