"","point","mean","low","high","time"
"var1","model predict (95% CI)",580.039994792606,533.936365825169,626.328730634744,1992
"var2","model predict (95% CI)",586.045043850775,539.528965423038,635.521824948408,1993
"var3","model predict (95% CI)",226.365332279289,197.107398510606,256.40010249158,1994
"var4","model predict (95% CI)",229.817362712946,201.210554166522,261.902249781017,1995
"var5","model predict (95% CI)",254.097489946137,224.822977871995,285.837550148959,1996
"var6","model predict (95% CI)",163.029521144789,139.649137207572,188.155441332518,1997
"var7","model predict (95% CI)",83.6966118735611,67.0432660865963,102.954903268512,1998
"var8","model predict (95% CI)",168.442735996174,144.243389363576,194.866703415634,1999
"var9","model predict (95% CI)",114.424673198813,94.9265499664076,136.78232379358,2000
"var10","model predict (95% CI)",129.037315367534,108.276988796234,152.841170175759,2001
"var11","model predict (95% CI)",196.505207076195,169.940774560752,224.548825111645,2002
"var12","model predict (95% CI)",228.000825766954,200.743391185636,257.571944790142,2003
"var13","model predict (95% CI)",121.809684455475,101.011651005752,144.961808955726,2004
"var14","model predict (95% CI)",159.884278795599,136.305694687174,184.878705288342,2005
"var15","model predict (95% CI)",178.883903076491,154.798798743925,205.68649870164,2006
"X1992","data",577,577,577,1992
"X1993","data",584,584,584,1993
"X1994","data",223,223,223,1994
"X1995","data",227,227,227,1995
"X1996","data",253,253,253,1996
"X1997","data",161,161,161,1997
"X1998","data",81,81,81,1998
"X1999","data",167,167,167,1999
"X2000","data",112,112,112,2000
"X2001","data",126,126,126,2001
"X2002","data",194,194,194,2002
"X2003","data",228,228,228,2003
"X2004","data",119,119,119,2004
"X2005","data",157,157,157,2005
"X2006","data",180,180,180,2006
