"","point","mean","low","high","time"
"1","model predict (95% CI)",0.66958375373653,0.413303348747289,0.85766961499965,1992
"2","model predict (95% CI)",0.688158020371439,0.461262110816233,0.863315265845567,1993
"3","model predict (95% CI)",0.5728857091459,0.208865388403888,0.791740098928212,1994
"4","model predict (95% CI)",0.65394710042911,0.367633835203559,0.852455868324282,1995
"5","model predict (95% CI)",0.692552389357955,0.453038359589819,0.877083328550263,1996
"6","model predict (95% CI)",0.664841110556405,0.401870960291645,0.837532657758463,1997
"7","model predict (95% CI)",0.60144888507265,0.27050728729245,0.809257584814708,1998
"8","model predict (95% CI)",0.683541119855367,0.448966801687937,0.859213661790472,1999
"9","model predict (95% CI)",0.657165672633082,0.371518174368687,0.86150562420096,2000
"10","model predict (95% CI)",0.648870652439327,0.381196100683899,0.836808792627266,2001
"11","model predict (95% CI)",0.692287446981952,0.474285910866359,0.868489378829611,2002
"12","model predict (95% CI)",0.714039640135763,0.509728777036276,0.899863369196691,2003
"13","model predict (95% CI)",0.659102048474845,0.381629718701413,0.84463994444857,2004
"14","model predict (95% CI)",0.702901580091546,0.475280572143598,0.894234654068536,2005
"15","model predict (95% CI)",0.730681431119896,0.556808945304487,0.924238518243599,2006
