"","point","mean","low","high","time"
"1","model predict (95% CI)",46.7534924162569,38.1764251204596,56.757414148085,1993
"2","model predict (95% CI)",11.352558640959,7.27555850905663,15.8876132643448,1994
"3","model predict (95% CI)",47.8534126421906,39.2403029475032,57.9693082601767,1995
"4","model predict (95% CI)",14.7051476161187,8.26910879569137,21.7591001006622,1996
"5","model predict (95% CI)",10.4986448838311,6.84824267999203,13.9051463785734,1997
"6","model predict (95% CI)",5.28141765060065,3.30326490189474,8.29181030612868,1998
"7","model predict (95% CI)",4.01211985250348,2.04386326344022,6.36038041997812,1999
"8","model predict (95% CI)",4.92654469260272,2.77803109259926,7.45916446871296,2000
"9","model predict (95% CI)",4.17480051550419,2.47398903265776,6.32062788544612,2001
"10","model predict (95% CI)",6.38302522060077,3.79705151393904,9.98493835470111,2002
"11","model predict (95% CI)",7.81600190751837,4.58050030285866,11.6353105037521,2003
"12","model predict (95% CI)",4.84208230151454,2.64479896097073,7.5860423549639,2004
"13","model predict (95% CI)",9.95968224087789,6.15039238191885,14.3911963008453,2005
"14","model predict (95% CI)",3.92883535507627,1.38371219936392,7.36492434123805,2006
"X1993","data",53,53,53,1993
"X1994","data",15,15,15,1994
"X1995","data",65,65,65,1995
"X1996","data",14,14,14,1996
"X1997","data",10,10,10,1997
"X1998","data",10,10,10,1998
"X1999","data",6,6,6,1999
"X2000","data",3,3,3,2000
"X2001","data",5,5,5,2001
"X2002","data",6,6,6,2002
"X2003","data",8,8,8,2003
"X2004","data",5,5,5,2004
"X2005","data",7,7,7,2005
"X2006","data",3,3,3,2006
