"","point","mean","low","high","time"
"1","model predict (95% CI)",0.193564415641813,0.140435772025167,0.252173443369042,1992
"2","model predict (95% CI)",0.279034566540992,0.150155210710847,0.407852023302786,1993
"3","model predict (95% CI)",0.139299656039737,0.0727301060243096,0.207294327232081,1994
"4","model predict (95% CI)",0.569238959049404,0.390696472168581,0.683605498634861,1995
"5","model predict (95% CI)",0.410065569882823,0.282976804946083,0.53941573933521,1996
"6","model predict (95% CI)",0.485908336722707,0.376012584370994,0.587547198628719,1997
"7","model predict (95% CI)",0.272976783624627,0.189321057412252,0.371640127599202,1998
"8","model predict (95% CI)",0.217369650078703,0.144718425591572,0.30184110396907,1999
"9","model predict (95% CI)",0.215682358774513,0.138015875195333,0.311778231559491,2000
"10","model predict (95% CI)",0.198767802620016,0.126467553009062,0.284471115724904,2001
"11","model predict (95% CI)",0.220492369723037,0.147924723947939,0.30228011305915,2002
"12","model predict (95% CI)",0.297536782518277,0.188613679953766,0.4310329363692,2003
"13","model predict (95% CI)",0.19436356447059,0.12458143133101,0.279328334537242,2004
"14","model predict (95% CI)",0.314203826025104,0.220261568452626,0.421222374657376,2005
"15","model predict (95% CI)",0.381858559037498,0.232145628160136,0.570183216813634,2006
