"","point","mean","low","high","time"
"1","model predict (95% CI)",0.266574054466274,0.118034228652278,0.443644435232631,1992
"2","model predict (95% CI)",0.285847064847756,0.155188110721014,0.504465682106896,1993
"3","model predict (95% CI)",0.181595164168816,0.0884929526692293,0.320822792000308,1994
"4","model predict (95% CI)",0.566951618009465,0.395352862182118,0.723930586801802,1995
"5","model predict (95% CI)",0.358806707139108,0.2293355457267,0.511098864945343,1996
"6","model predict (95% CI)",0.439608539526759,0.320842956820419,0.556068113319706,1997
"7","model predict (95% CI)",0.35698890985195,0.208047704195131,0.538504047932111,1998
"8","model predict (95% CI)",0.268086920568568,0.168058684708632,0.38532358724604,1999
"9","model predict (95% CI)",0.282883494499243,0.162665376169859,0.43914194511425,2000
"10","model predict (95% CI)",0.173403940668581,0.108399505406835,0.251504365238565,2001
"11","model predict (95% CI)",0.233787877230077,0.158707086178134,0.318080336097666,2002
"12","model predict (95% CI)",0.269179797407971,0.168428606359742,0.388467569282936,2003
"13","model predict (95% CI)",0.201954394154577,0.130688206387477,0.285522232825222,2004
"14","model predict (95% CI)",0.262785809062642,0.179210303487822,0.362101016163082,2005
"15","model predict (95% CI)",0.306614890418129,0.181272572158005,0.472269039656287,2006
