"","point","mean","low","high","time"
"1","model predict (95% CI)",65.3933242821513,50.4342475740582,82.0141196182741,1993
"2","model predict (95% CI)",35.5949030921823,25.8378648377529,46.6192336103733,1994
"3","model predict (95% CI)",96.5897676668586,77.7607670838167,117.982391224388,1995
"4","model predict (95% CI)",29.7077858138997,20.881796307034,39.9847918008866,1996
"5","model predict (95% CI)",30.4722759344542,21.1322403251094,41.1517275353887,1997
"6","model predict (95% CI)",7.18338759868132,3.22425307253696,12.4667187198102,1998
"7","model predict (95% CI)",18.1449978745175,11.655343157732,25.7725592452681,1999
"8","model predict (95% CI)",8.34101203288885,4.10758075799668,14.1466159478425,2000
"9","model predict (95% CI)",6.2813371072414,3.0312513485131,11.3826046560881,2001
"10","model predict (95% CI)",18.5577894792032,12.0378967357091,27.0239653713739,2002
"11","model predict (95% CI)",25.3507685482713,17.8416700829058,34.4865998626153,2003
"12","model predict (95% CI)",22.0649979496296,14.9554711856489,29.9884959884064,2004
"13","model predict (95% CI)",24.7872247221169,16.7644473409871,34.357849687215,2005
"14","model predict (95% CI)",20.2897221064186,13.2883601803758,29.1658463321715,2006
"X1993","data",66,66,66,1993
"X1994","data",36,36,36,1994
"X1995","data",100,100,100,1995
"X1996","data",32,32,32,1996
"X1997","data",31,31,31,1997
"X1998","data",4,4,4,1998
"X1999","data",21,21,21,1999
"X2000","data",6,6,6,2000
"X2001","data",5,5,5,2001
"X2002","data",20,20,20,2002
"X2003","data",27,27,27,2003
"X2004","data",22,22,22,2004
"X2005","data",24,24,24,2005
"X2006","data",20,20,20,2006
