"","point","mean","low","high","time"
"1","model predict",104.144165930804,16.5690741821056,335.549822449842,1
"2","model predict",89.233195881868,16.6928487554983,211.733066150977,2
"3","model predict",72.3401513164556,25.9164193094188,155.691304413272,3
"4","model predict",62.6968372001855,21.5003574605054,130.677408085639,4
"5","model predict",49.6472459374016,18.2791305272002,97.8675199210775,5
"6","model predict",43.5617541587247,16.8555172606374,85.31880751814,6
"7","model predict",36.5506334311018,14.5697833627792,71.2015687308628,7
"8","model predict",30.6462456952291,12.4481763000323,59.6882528462651,8
"9","model predict",25.744384942233,10.6249682044604,50.4987519664422,9
"10","model predict",21.8178011952778,8.92470208040314,44.1598079933752,10
"11","model predict",18.1006020042929,7.14792347042274,37.698193050664,11
"12","model predict",15.2145408213407,5.58974784812265,33.6541937739904,12
"13","model predict",12.6183023155261,4.10566666190978,29.74055993398,13
"14","model predict",10.4720883907884,2.87845318204337,27.0017435630602,14
"X1993","data",49,49,49,1
"X1994","data",11,11,11,2
"X1995","data",95,95,95,3
"X1996","data",27,27,27,4
"X1997","data",28,28,28,5
"X1998","data",16,16,16,6
"X1999","data",22,22,22,7
"X2000","data",20,20,20,8
"X2001","data",8,8,8,9
"X2002","data",17,17,17,10
"X2003","data",27,27,27,11
"X2004","data",10,10,10,12
"X2005","data",37,37,37,13
"X2006","data",34,34,34,14
