"","point","mean","low","high","time"
"1","model predict (95% CI)",1153.28970319448,932.02898470484,1379.3246635588,1992
"2","model predict (95% CI)",1042.8128133662,805.918110191741,1333.67182304466,1993
"3","model predict (95% CI)",895.596375206426,794.499990180502,1039.18945804239,1994
"4","model predict (95% CI)",458.395283870447,369.872804550671,573.586476908716,1995
"5","model predict (95% CI)",372.717218077653,298.364292817459,514.763235972497,1996
"6","model predict (95% CI)",246.61389331968,198.529215881176,304.618247622091,1997
"7","model predict (95% CI)",230.89838856607,190.304112641407,282.787335476679,1998
"8","model predict (95% CI)",239.47174454565,196.22877193515,298.023519510617,1999
"9","model predict (95% CI)",231.70945808743,184.286245268702,285.067673524463,2000
"10","model predict (95% CI)",303.702105242098,260.832592177126,357.454858898602,2001
"11","model predict (95% CI)",340.983103293705,285.539700252597,434.762586637748,2002
"12","model predict (95% CI)",288.945654687049,243.493270442992,347.126697840682,2003
"13","model predict (95% CI)",316.37412308664,258.466999399828,378.56375558497,2004
"14","model predict (95% CI)",288.559572655795,233.29583042511,356.950565253676,2005
"15","model predict (95% CI)",249.062253877919,188.214383095041,351.544047575083,2006
