"","point","mean","low","high","time"
"1","model predict (95% CI)",31.3978216854798,5.14822717676423,104.483617416901,1996
"2","model predict (95% CI)",12.9812558008932,1.91091724489459,42.9036828678983,1997
"3","model predict (95% CI)",19.6434620101554,2.36701834212327,69.1063719047823,1998
"4","model predict (95% CI)",13.6550482377722,1.63469308013686,50.3061063170443,1999
"5","model predict (95% CI)",24.3689337489628,2.84650963393389,87.241721318191,2000
"6","model predict (95% CI)",50.201037967467,7.94908747815113,153.221054601102,2001
"7","model predict (95% CI)",25.2227100509671,3.23670469670648,81.1720180184277,2002
"8","model predict (95% CI)",19.9438040310472,3.31716333481602,62.5333988294637,2003
"9","model predict (95% CI)",22.7549847555231,3.40737266991553,71.5081750487684,2004
"10","model predict (95% CI)",14.1075431815633,1.46802833004664,49.7977239302244,2005
"11","model predict (95% CI)",11.3193547768313,0.34307266620899,48.540202513674,2006
