"","point","mean","low","high","time"
"1","model predict (95% CI)",1120.82361970746,951.25644170623,1336.35570472498,1992
"2","model predict (95% CI)",1107.57723566519,860.482762546893,1386.38628801929,1993
"3","model predict (95% CI)",1000.72490218206,797.018048793803,1233.24343069555,1994
"4","model predict (95% CI)",473.3543252551,368.305575708697,625.422204243014,1995
"5","model predict (95% CI)",372.157401090934,289.22837570221,466.547344562878,1996
"6","model predict (95% CI)",246.687074778377,200.947399321963,316.688250994392,1997
"7","model predict (95% CI)",236.188832138874,191.267977828408,306.352585263702,1998
"8","model predict (95% CI)",229.413096097524,193.837752255108,282.888880422198,1999
"9","model predict (95% CI)",237.183661814046,185.235223398599,296.051789475699,2000
"10","model predict (95% CI)",294.953528493103,244.09748980744,354.520757404852,2001
"11","model predict (95% CI)",330.554251483642,280.334277004655,397.254122308793,2002
"12","model predict (95% CI)",303.335857506059,250.07534799128,371.881863977991,2003
"13","model predict (95% CI)",318.247994285364,260.020207638657,382.648981660626,2004
"14","model predict (95% CI)",288.843921182264,245.627200239122,351.04670974965,2005
"15","model predict (95% CI)",238.347768766966,186.05393508034,323.906514503741,2006
