"","point","mean","low","high","time"
"1","model predict (95% CI)",0.561019594644375,0.116110236599908,0.983857962682792,1993
"2","model predict (95% CI)",0.598056543171691,0.0840831358874359,0.984825982171633,1994
"3","model predict (95% CI)",0.679403037780844,0.108328962585189,0.989437285787912,1995
"4","model predict (95% CI)",0.804345148545349,0.280260271693081,0.993788446387456,1996
"5","model predict (95% CI)",0.622655676880829,0.0891585880954719,0.985794419288338,1997
"6","model predict (95% CI)",0.670105906284613,0.079092933208155,0.991205227254699,1998
"7","model predict (95% CI)",0.721321049400728,0.138712645298385,0.990692771351352,1999
"8","model predict (95% CI)",0.740883149092978,0.142410063049897,0.994202507839539,2000
"9","model predict (95% CI)",0.767043850504236,0.212090824252587,0.992202959883988,2001
"10","model predict (95% CI)",0.751631243448137,0.186506484993442,0.994676536518372,2002
"11","model predict (95% CI)",0.738936006017186,0.16884364672662,0.990335375271529,2003
"12","model predict (95% CI)",0.78202023830354,0.193632849541069,0.993790249208642,2004
"13","model predict (95% CI)",0.830784325909218,0.35635640716095,0.992848074936657,2005
"14","model predict (95% CI)",0.723697086679056,0.140932362786871,0.990596006128789,2006
