"","point","mean","low","high","time"
"1","model predict (95% CI)",376.583201080371,163.660283873082,825.787129843246,1996
"2","model predict (95% CI)",211.326168161971,83.2658344602947,460.710059425048,1997
"3","model predict (95% CI)",345.681625409337,142.146440701917,763.311176976565,1998
"4","model predict (95% CI)",203.463067020252,78.5714571380288,469.729295663916,1999
"5","model predict (95% CI)",272.311633328701,101.781588461956,647.742040381219,2000
"6","model predict (95% CI)",427.225255931072,172.262935492218,981.055033970559,2001
"7","model predict (95% CI)",328.985366268161,135.349759752629,722.012939024017,2002
"8","model predict (95% CI)",241.943260712658,94.7934547646877,540.484993103663,2003
"9","model predict (95% CI)",226.41027588746,85.5140431892964,516.880710420936,2004
"10","model predict (95% CI)",209.128644584935,72.9715742268346,502.453084825755,2005
"11","model predict (95% CI)",218.956999104887,67.0721515972062,568.668003937753,2006
